Index,HPD,WW,Instrumentalist,Composer,Anxiety,Depression,Insomnia,OCD,total_score,JHPD
405,14.0,Yes,No,No,5.0,10.0,8.0,0.0,12.0,14.028904640013726
406,3.0,Yes,Yes,Yes,9.0,6.0,8.0,5.0,22.0,2.9524495748669985
407,2.0,Yes,Yes,Yes,2.0,2.0,7.0,0.0,23.0,2.082494874486047
408,0.5,Yes,Yes,Yes,7.0,8.0,6.0,2.0,26.0,0.42633843629110457
409,6.0,Yes,No,No,10.0,10.0,8.0,2.0,28.0,6.090787209652799
410,1.0,Yes,Yes,No,8.0,5.0,2.0,3.0,11.0,0.9369524166159485
411,2.0,Yes,Yes,No,7.0,8.0,2.0,5.0,23.0,2.0351618223297567
412,4.0,Yes,Yes,Yes,1.0,1.0,2.0,0.0,30.0,3.9533396553337252
413,3.0,Yes,Yes,Yes,9.0,10.0,10.0,3.0,18.0,3.0472493558529323
414,12.0,Yes,Yes,Yes,9.0,4.0,4.0,4.0,22.0,11.937667649568594
415,3.0,No,Yes,No,8.0,2.0,4.0,0.0,4.0,2.940789817014975
416,1.0,No,No,No,1.0,1.0,5.0,1.0,32.0,0.9614726211356903
417,10.0,Yes,No,No,10.0,9.0,9.0,8.0,21.0,9.943343786993818
418,5.0,Yes,Yes,No,3.0,0.0,2.0,3.0,14.0,5.04549868805787
419,0.5,Yes,Yes,No,4.0,0.0,4.0,0.0,8.0,0.4270900931321305
420,5.0,Yes,Yes,Yes,2.0,3.0,5.0,2.0,36.0,5.015686464637757
421,3.0,Yes,Yes,Yes,2.0,3.0,3.0,0.0,8.0,3.085362996336272
422,2.0,No,No,No,8.0,4.0,3.0,0.0,8.0,1.97140324746794
423,4.0,Yes,Yes,No,8.0,8.0,9.0,3.0,12.0,4.0905590677212365
424,6.0,Yes,Yes,Yes,0.0,1.0,0.0,2.0,8.0,6.074384805128641
425,3.0,Yes,No,No,5.0,4.0,0.0,1.0,15.0,3.0963988212779276
426,4.0,Yes,No,No,7.5,5.0,7.0,8.5,37.0,3.9576637920395497
427,3.0,No,Yes,No,3.0,3.0,0.0,0.0,28.0,2.938426497940643
428,2.0,Yes,Yes,No,7.0,5.0,3.0,1.0,3.0,2.0672878657814695
429,2.0,Yes,Yes,Yes,8.0,0.0,1.0,6.0,10.0,1.9759738509980938
430,1.0,Yes,No,No,6.0,4.0,1.0,1.0,28.0,1.039752743075545
431,6.0,Yes,Yes,No,8.0,8.0,7.0,10.0,6.0,5.994989544261869
432,9.0,Yes,No,No,10.0,8.0,9.0,5.0,16.0,9.052103882474471
433,1.0,No,No,No,3.0,0.0,2.0,0.0,15.0,1.020049679740762
434,1.0,Yes,No,No,5.0,5.0,7.0,1.0,12.0,0.9066108715987166
435,0.5,No,No,Yes,7.0,7.0,6.0,5.0,33.0,0.4800753009277727
436,1.0,No,No,No,7.0,4.0,6.0,3.0,32.0,1.0229291948858465
437,1.5,Yes,Yes,No,3.0,3.0,1.0,0.0,5.0,1.474505240347931
438,6.0,Yes,No,No,4.0,0.0,0.0,2.0,18.0,5.978265920490018
439,4.0,Yes,No,No,3.0,0.0,6.0,9.0,25.0,4.073133239227622
440,6.0,Yes,No,Yes,5.0,1.0,6.0,0.0,20.0,6.043488902931538
441,4.0,Yes,No,No,10.0,6.0,8.0,0.0,7.0,4.0372662430304445
442,1.5,Yes,No,No,7.0,5.0,1.0,2.0,6.0,1.4319647085426785
443,2.0,Yes,No,No,7.0,7.0,0.0,4.0,18.0,2.018222333767005
444,2.0,Yes,No,No,6.0,0.0,0.0,0.0,12.0,1.9377131490727462
445,4.0,Yes,No,No,6.0,2.0,3.0,2.0,24.0,3.9427456021204668
446,3.0,Yes,No,No,7.0,6.0,7.0,9.0,15.0,3.039263564020494
447,4.0,Yes,No,No,5.0,7.0,7.0,0.0,18.0,4.064430207784582
448,2.0,Yes,No,No,7.0,6.0,4.0,3.0,6.0,2.09499511059182
449,2.0,Yes,No,No,2.0,2.0,2.0,0.0,13.0,2.0838115561646844
450,6.0,Yes,No,No,9.0,5.0,0.0,7.0,29.0,6.091059603699852
451,0.0,No,Yes,No,3.0,7.0,8.0,0.0,19.0,-0.0012299724861141864
452,1.0,No,No,No,4.0,5.0,9.0,1.0,20.0,1.0289583758886143
453,4.0,Yes,Yes,No,1.0,0.0,7.0,0.0,6.0,4.08746668663753
454,2.0,No,Yes,Yes,3.0,2.0,0.0,2.0,21.0,1.9282325554493371
455,3.0,Yes,No,No,1.0,6.0,1.0,2.0,18.0,3.0655550924611643
456,4.0,No,No,No,8.0,10.0,4.0,0.0,19.0,4.095500060333189
457,2.0,No,No,No,8.0,10.0,10.0,0.0,8.0,2.0714115007969016
458,3.0,Yes,No,No,3.0,0.0,8.0,1.0,7.0,3.0755825981083116
459,1.0,No,No,No,3.0,4.0,1.0,0.0,10.0,1.0654075268545458
